"filename", "language", "CSS", "PHP", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Controlador\cont_listaEventos.php", "PHP", 0, 14, 0, 0, 2, 6, 22
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\DAO\eventosBBDD.php", "PHP", 0, 27, 0, 0, 0, 12, 39
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\DAO\operacionesBBDD.php", "PHP", 0, 22, 0, 0, 0, 3, 25
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Modelo\evento.php", "PHP", 0, 103, 0, 0, 0, 19, 122
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Vista\GenericErr.php", "PHP", 0, 20, 0, 0, 0, 0, 20
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Vista\listaEventos.php", "PHP", 0, 86, 0, 0, 0, 9, 95
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\config.php", "PHP", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\Cartstyles.css", "CSS", 52, 0, 0, 0, 0, 8, 60
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\img.css", "CSS", 24, 0, 0, 0, 0, 1, 25
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\reservabtn.css", "CSS", 33, 0, 0, 0, 0, 4, 37
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\script.js", "JavaScript", 0, 0, 0, 12, 0, 5, 17
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\style.css", "CSS", 124, 0, 0, 0, 0, 17, 141
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\email.svg", "XML", 0, 0, 15, 0, 1, 3, 19
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\facebook.svg", "XML", 0, 0, 4, 0, 0, 0, 4
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\instagram.svg", "XML", 0, 0, 6, 0, 0, 0, 6
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\ticket.svg", "XML", 0, 0, 2, 0, 0, 0, 2
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\twitter.svg", "XML", 0, 0, 4, 0, 0, 0, 4
"Total", "-", 233, 276, 31, 12, 3, 87, 642
