"filename", "language", "PHP", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Controlador\cont_paginaCompra.php", "PHP", 17, 0, 0, 0, 0, 7, 24
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Vista\listaEventos.php", "PHP", 12, 0, 0, 0, 0, 7, 19
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Vista\paginaCompra.php", "PHP", 56, 0, 0, 0, 10, 10, 76
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\Cartstyles.css", "CSS", 0, 0, 0, 1, 0, 1, 2
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\estilocompra.css", "CSS", 0, 0, 0, 147, 2, 36, 185
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\img.css", "CSS", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\script.js", "JavaScript", 0, 0, 59, 0, 26, 23, 108
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\css\style.css", "CSS", 0, 0, 0, 20, 0, 16, 36
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\calendar.svg", "XML", 0, 34, 0, 0, 1, 1, 36
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\cart.svg", "XML", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\clock.svg", "XML", 0, 5, 0, 0, 0, 0, 5
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\location.svg", "XML", 0, 14, 0, 0, 1, 1, 16
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\img\ticketcompra.svg", "XML", 0, 29, 0, 0, 1, 1, 31
"Total", "-", 85, 86, 59, 173, 41, 104, 548
