"filename", "language", "PHP", "Shell Script", "Batch", "JSON", "Markdown", "YAML", "CSS", "XML", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\Controlador\cont_paginaCompra.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\README.md", "Markdown", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 64, 232
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\SECURITY.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19, 38
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\composer.json", "JSON", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 1, 80
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\get_oauth_token.php", "PHP", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 18, 183
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-ar.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-as.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 36
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-bn.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 36
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-cs.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-da.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 37
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-de.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-el.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 34
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-eo.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-es.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 32
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-et.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-fa.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\Users\Juan\Documents\2ºDAW\Servidor\ProyectoConciertos\PHPMailer-master\language\phpmailer.lang-fi.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 28
